id,type,train ID
1,1,1
2,2,1
3,2,2
4,3,2
5,3,3
6,4,3
7,4,4
8,1,4
9,1,5
10,2,5
11,2,6
12,3,6
13,3,7
14,4,7
15,4,8
16,1,8
17,1,9
18,2,9
19,2,10
20,3,10
21,3,11
22,4,11
23,4,12
24,1,12
25,1,13
26,2,13
27,2,14
28,3,14
29,3,15
30,4,15
31,4,16
32,1,16
33,1,17
34,2,17
35,2,18
36,3,18
37,3,19
38,4,19
39,4,20
40,1,20
41,1,21
42,2,21
43,2,22
44,3,22
45,3,23
46,4,23
47,4,24
48,1,24
49,1,25
50,2,25
51,2,26
52,3,26
53,3,27
54,4,27
55,4,28
56,1,28
57,1,29
58,2,29
59,2,30
60,3,30
61,3,31
62,4,31
63,4,32
64,1,32
65,1,33
66,2,33
67,2,34
68,3,34
69,3,35
70,4,35
71,4,36
72,1,36
73,1,37
74,2,37
75,2,38
76,3,38
77,3,39
78,4,39
79,4,40
80,1,40
81,1,41
82,2,41
83,2,42
84,3,42
85,3,43
86,4,43
87,4,44
88,1,44
89,1,45
90,2,45
