id,type,train ID
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,2,2
7,3,2
8,4,2
9,5,2
10,1,2
11,3,3
12,4,3
13,5,3
14,1,3
15,2,3
16,4,4
17,5,4
18,1,4
19,2,4
20,3,4
21,5,5
22,1,5
23,2,5
24,3,5
25,4,5
26,1,6
27,2,6
28,3,6
29,4,6
30,5,6
31,2,7
32,3,7
33,4,7
34,5,7
35,1,7
36,3,8
37,4,8
38,5,8
39,1,8
40,2,8
41,4,9
42,5,9
43,1,9
44,2,9
45,3,9
46,5,10
47,1,10
48,2,10
49,3,10
50,4,10
51,1,11
52,2,11
53,3,11
54,4,11
55,5,11
56,2,12
57,3,12
58,4,12
59,5,12
60,1,12
61,3,13
62,4,13
63,5,13
64,1,13
65,2,13
66,4,14
67,5,14
68,1,14
69,2,14
70,3,14
71,5,15
72,1,15
73,2,15
74,3,15
75,4,15
76,1,16
77,2,16
78,3,16
79,4,16
80,5,16
81,2,17
82,3,17
83,4,17
84,5,17
85,1,17
86,3,18
87,4,18
88,5,18
89,1,18
90,2,18
91,4,19
92,5,19
93,1,19
94,2,19
95,3,19
96,5,20
97,1,20
98,2,20
99,3,20
100,4,20
101,1,21
102,2,21
103,3,21
104,4,21
105,5,21
106,2,22
107,3,22
108,4,22
109,5,22
110,1,22
111,3,23
112,4,23
113,5,23
114,1,23
115,2,23
116,4,24
117,5,24
118,1,24
119,2,24
120,3,24
121,5,25
122,1,25
123,2,25
124,3,25
125,4,25
126,1,26
127,2,26
128,3,26
129,4,26
130,5,26
