Time_s,Nodes,Columns,LB,UB,Gap
0.000510952,0,16,,,0
51.1692,1,3053,20534.153082,,0
52.063,2,3067,20519.171015,,0
59.2982,3,3219,20519.171015,,0
66.7276,4,3337,20529.035212,,0
75.2614,5,3484,20529.035212,,0
121.307,6,4744,20534.153082,35896.000000,74.8112
127.088,7,4777,20525.717228,35896.000000,74.883
132.346,8,4840,20525.717228,35896.000000,74.883
140.085,9,4875,20521.642322,35896.000000,74.9178
140.142,10,4875,20521.642322,35896.000000,74.9178
340.904,11,9784,20521.642322,29021.000000,41.4166
351.245,12,9865,20521.642322,29021.000000,41.4166
359.679,13,9892,20523.247777,29021.000000,41.4055
363.785,14,9900,20523.247777,29021.000000,41.4055
365.043,15,9900,20531.299615,29021.000000,41.35
468.344,16,12014,20520.743997,29002.000000,41.3302
471.214,17,12014,20475.951623,29002.000000,41.6393
473.326,18,12026,20475.951623,29002.000000,41.6393
477.791,19,12037,20484.599131,29002.000000,41.5795
485.804,20,12066,20484.599131,29002.000000,41.5795
586.95,21,13445,20520.743997,29002.000000,41.3302
596.868,22,13445,20519.526431,29002.000000,41.3385
600.243,23,13460,20493.340682,29002.000000,41.5191
609.978,24,13519,20493.340682,29002.000000,41.5191
614.515,25,13534,20504.445799,29002.000000,41.4425
685.256,26,14103,20504.445799,29002.000000,41.4425
692.657,27,14117,20501.905408,29002.000000,41.46
698.274,28,14144,20501.905408,29002.000000,41.46
708.742,29,14175,20510.650898,29002.000000,41.3997
717.221,30,14228,20510.650898,29002.000000,41.3997
823.818,31,15863,20513.791912,29002.000000,41.3781
830.963,32,15889,20513.791912,29002.000000,41.3781
844.338,33,15972,20518.811269,29002.000000,41.3435
852.579,34,15987,20517.745759,29002.000000,41.3508
856.733,35,16001,20488.713415,29002.000000,41.5511
907.458,36,16165,20488.713415,29002.000000,41.5511
913.978,37,16181,20433.656285,29002.000000,41.9325
921.389,38,16224,20433.656285,29002.000000,41.9325
927.596,39,16254,20474.083477,29002.000000,41.6523
942.403,40,16335,20474.083477,29002.000000,41.6523
1013.72,41,16648,20498.931718,29002.000000,41.4805
1017.75,42,16663,20477.439750,29002.000000,41.629
1029.23,43,16754,20477.439750,29002.000000,41.629
1035.68,44,16769,20498.931718,29002.000000,41.4805
1043.67,45,16799,20517.745759,29002.000000,41.3508
1146.42,46,17623,20472.344724,29002.000000,41.6643
1147.17,47,17623,20436.968106,29002.000000,41.9095
1152.52,48,17637,20436.968106,29002.000000,41.9095
1164.02,49,17653,20472.344724,29002.000000,41.6643
1166.45,50,17653,20490.671395,29002.000000,41.5376
1334.17,51,18896,20490.671395,29002.000000,41.5376
1340.21,52,18896,20494.216104,29002.000000,41.5131
1346.93,53,18896,20494.216104,29002.000000,41.5131
1351.19,54,18911,20500.928840,29002.000000,41.4668
1359.37,55,18911,20462.510435,29002.000000,41.7324
1456.91,56,19529,20462.510435,29002.000000,41.7324
1457.65,57,19529,20500.928840,29002.000000,41.4668
1459.15,58,19529,20502.549830,29002.000000,41.4556
1466.23,59,19543,20502.549830,29002.000000,41.4556
1467.83,60,19557,20504.193875,29002.000000,41.4442
1614.17,61,20835,20504.193875,29002.000000,41.4442
1624.13,62,20863,20515.171065,29002.000000,41.3686
1632.39,63,20879,20515.171065,29002.000000,41.3686
1638.62,64,20909,20518.811269,29002.000000,41.3435
1653.89,65,20939,20519.037077,29002.000000,41.3419
1790.31,66,21796,20490.011534,29002.000000,41.5421
1790.45,67,21796,20489.531225,29002.000000,41.5455
1793.36,68,21796,20474.241438,29002.000000,41.6512
1801.57,69,21842,20474.241438,29002.000000,41.6512
1813.91,70,21856,20489.531225,29002.000000,41.5455
1939.98,71,22606,20444.232227,29002.000000,41.8591
1954.09,72,22651,20444.232227,29002.000000,41.8591
1972.46,73,22677,20490.011534,29002.000000,41.5421
1981.47,74,22677,20499.145840,29002.000000,41.4791
1996.15,75,22693,20499.145840,29002.000000,41.4791
2102.21,76,23469,20502.054972,29002.000000,41.459
2108.61,77,23469,20492.013502,29002.000000,41.5283
2109.7,78,23469,20462.417486,29002.000000,41.733
2110.95,79,23469,20453.177594,29002.000000,41.797
2111.57,80,23469,20453.177594,29002.000000,41.797
2221.39,81,24025,20462.417486,29002.000000,41.733
2233.99,82,24057,20462.658186,29002.000000,41.7313
2245.95,83,24081,20462.658186,29002.000000,41.7313
2254.93,84,24081,20434.033305,29002.000000,41.9299
2263.08,85,24110,20434.033305,29002.000000,41.9299
2505.8,86,26356,20467.962680,29002.000000,41.6946
2526.3,87,26398,20467.962680,29002.000000,41.6946
2538.13,88,26412,20480.208515,29002.000000,41.6099
2547.36,89,26412,20471.625692,29002.000000,41.6693
2556.91,90,26427,20471.625692,29002.000000,41.6693
2747.78,91,27940,20480.208515,29002.000000,41.6099
