Time_s,Nodes,Columns,LB,UB,Gap
0.00031478,0,12,,,0
4.51597,1,1032,5438.222189,,0
5.2533,2,1113,5438.222189,,0
6.30432,3,1170,5445.137396,,0
7.14929,4,1237,5445.137396,,0
7.87469,5,1276,5467.465382,,0
29.5395,6,2285,5467.465382,12263.000000,124.29
30.999,7,2325,5478.855732,12263.000000,123.824
32.8166,8,2369,5478.855732,12263.000000,123.824
34.6037,9,2400,5493.956410,12263.000000,123.209
35.3317,10,2405,5493.956410,12263.000000,123.209
55.7728,11,2730,5518.822537,12244.000000,121.859
57.8604,12,2751,5518.822537,12244.000000,121.859
58.5979,13,2770,5529.459810,12244.000000,121.432
59.7004,14,2781,5529.459810,12244.000000,121.432
60.6187,15,2792,5559.229515,12244.000000,120.246
82.3451,16,3208,5559.229515,10091.000000,81.518
84.0338,17,3248,5567.401045,10091.000000,81.2515
85.2863,18,3265,5567.401045,10091.000000,81.2515
86.8109,19,3286,5569.166814,10091.000000,81.1941
88.6851,20,3305,5569.166814,10091.000000,81.1941
112.729,21,4186,5572.877588,10091.000000,81.0734
115.056,22,4229,5572.877588,10091.000000,81.0734
116.946,23,4246,5587.392537,10091.000000,80.603
119.333,24,4273,5587.392537,10091.000000,80.603
121.999,25,4310,5589.425405,10091.000000,80.5373
147.003,26,4983,5589.425405,10091.000000,80.5373
149.321,27,5013,5599.444711,10091.000000,80.2143
152.211,28,5039,5599.444711,10091.000000,80.2143
154.635,29,5053,5604.864017,10091.000000,80.0401
156.957,30,5077,5604.864017,10091.000000,80.0401
183.421,31,5633,5608.519570,10091.000000,79.9227
186.125,32,5655,5608.519570,10091.000000,79.9227
187.85,33,5665,5613.085939,10091.000000,79.7763
189.808,34,5679,5600.679625,10091.000000,80.1746
192.586,35,5709,5600.679625,10091.000000,80.1746
215.65,36,6066,5613.085939,10091.000000,79.7763
217.617,37,6081,5622.705283,10091.000000,79.4688
221.238,38,6089,5622.705283,10091.000000,79.4688
223.383,39,6105,5640.417592,10091.000000,78.9052
224.612,40,6124,5640.417592,10091.000000,78.9052
247.337,41,6223,5644.606873,10091.000000,78.7724
249.892,42,6235,5644.606873,10091.000000,78.7724
253.138,43,6253,5644.693023,10091.000000,78.7697
255.372,44,6263,5644.693023,10091.000000,78.7697
255.567,45,6274,5647.830879,10091.000000,78.6704
277.426,46,6401,5647.830879,10091.000000,78.6704
278.999,47,6411,5650.795386,10091.000000,78.5766
281.236,48,6432,5650.795386,10091.000000,78.5766
282.491,49,6446,5651.112661,10091.000000,78.5666
284.658,50,6464,5651.112661,10091.000000,78.5666
316.632,51,7065,5652.319670,10091.000000,78.5285
318.032,52,7080,5652.319670,10091.000000,78.5285
318.762,53,7083,5652.641342,10091.000000,78.5183
321.28,54,7096,5652.641342,10091.000000,78.5183
322.364,55,7100,5655.539338,10091.000000,78.4268
356.386,56,7779,5655.539338,10091.000000,78.4268
358.65,57,7782,5657.672987,10091.000000,78.3595
361.923,58,7789,5657.672987,10091.000000,78.3595
363.669,59,7802,5663.204989,10091.000000,78.1853
365.943,60,7806,5663.204989,10091.000000,78.1853
391.753,61,8279,5665.967677,10091.000000,78.0984
394.121,62,8284,5665.967677,10091.000000,78.0984
395.48,63,8288,5667.738483,10091.000000,78.0428
399.168,64,8306,5667.738483,10091.000000,78.0428
401.597,65,8327,5671.152189,10091.000000,77.9356
424.01,66,8448,5671.152189,10091.000000,77.9356
426.404,67,8455,5675.163635,10091.000000,77.8099
429.086,68,8462,5675.163635,10091.000000,77.8099
430.525,69,8467,5676.655034,10091.000000,77.7631
434.752,70,8485,5676.655034,10091.000000,77.7631
460.06,71,8908,5676.972447,10091.000000,77.7532
463.792,72,8919,5676.972447,10091.000000,77.7532
465.833,73,8933,5679.227468,10091.000000,77.6826
468.249,74,8933,5679.227468,10091.000000,77.6826
467.754,75,8936,5680.317299,10091.000000,77.6485
496.279,76,9331,5680.317299,10091.000000,77.6485
497.826,77,9335,5681.797218,10091.000000,77.6023
498.336,78,9339,5681.797218,10091.000000,77.6023
500.365,79,9351,5691.168486,10091.000000,77.3098
502.694,80,9351,5689.561754,10091.000000,77.3599
529.051,81,9763,5689.561754,10091.000000,77.3599
530.234,82,9766,5691.168486,10091.000000,77.3098
531.35,83,9766,5695.214830,10091.000000,77.1838
533.312,84,9772,5695.214830,10091.000000,77.1838
536.532,85,9786,5697.242588,10091.000000,77.1208
568.061,86,10276,5697.242588,10091.000000,77.1208
569.288,87,10276,5698.851348,10091.000000,77.0708
573.138,88,10279,5698.851348,10091.000000,77.0708
575.163,89,10279,5700.193578,10091.000000,77.0291
579.709,90,10304,5700.193578,10091.000000,77.0291
601.004,91,10346,5700.869810,10091.000000,77.0081
605.413,92,10352,5700.869810,10091.000000,77.0081
607.594,93,10358,5701.308419,10091.000000,76.9945
