ID,Name,type,a_t,d_t
1,0,1,0,255
2,1,2,0,255
3,2,3,0,375
4,3,4,5,290
5,4,5,5,260
6,5,6,5,380
7,6,1,10,295
8,7,2,10,295
9,8,3,10,355
10,9,4,10,265
11,10,5,15,300
12,11,6,15,390
13,12,1,15,270
14,13,2,15,270
15,14,3,20,395
16,15,4,20,305
17,16,5,20,275
18,17,6,20,395
19,18,1,25,310
20,19,2,25,310
21,20,3,25,370
22,21,4,25,280
23,22,5,30,315
24,23,6,30,405
25,24,1,30,285
26,25,2,30,285
27,26,3,35,410
28,27,4,35,320
29,28,5,35,290
30,29,6,35,410
31,30,1,40,325
32,31,2,40,325
33,32,3,40,385
34,33,4,40,295
35,34,5,45,330
36,35,6,45,420
37,36,1,45,300
38,37,2,45,300
39,38,3,50,425
40,39,4,50,335
41,40,5,50,305
42,41,6,50,425
43,42,1,55,340
44,43,2,55,340
45,44,3,55,400
46,45,4,55,310
47,46,5,60,345
48,47,6,60,435
49,48,1,60,315
50,49,2,60,315
51,50,3,65,440
52,51,4,65,350
53,52,5,65,320
54,53,6,65,440
55,54,1,70,355
56,55,2,70,355
57,56,3,70,415
58,57,4,70,325
59,58,5,75,360
60,59,6,75,450
61,60,1,75,330
62,61,2,75,330
63,62,3,80,455
64,63,4,80,365
65,64,5,80,335
