id,type,train ID
1,1,1
2,2,1
3,3,1
4,2,2
5,3,2
6,4,2
7,3,3
8,4,3
9,1,3
10,4,4
11,1,4
12,2,4
13,1,5
14,2,5
15,3,5
16,2,6
17,3,6
18,4,6
19,3,7
20,4,7
21,1,7
22,4,8
23,1,8
24,2,8
25,1,9
26,2,9
27,3,9
28,2,10
29,3,10
30,4,10
31,3,11
32,4,11
33,1,11
34,4,12
35,1,12
36,2,12
37,1,13
38,2,13
39,3,13
40,2,14
41,3,14
42,4,14
43,3,15
44,4,15
45,1,15
46,4,16
47,1,16
48,2,16
49,1,17
50,2,17
51,3,17
52,2,18
53,3,18
54,4,18
55,3,19
56,4,19
57,1,19
58,4,20
59,1,20
60,2,20
61,1,21
62,2,21
63,3,21
64,2,22
65,3,22
66,4,22
67,3,23
68,4,23
69,1,23
70,4,24
71,1,24
72,2,24
73,1,25
74,2,25
75,3,25
76,2,26
77,3,26
78,4,26
79,3,27
80,4,27
81,1,27
82,4,28
83,1,28
84,2,28
85,1,29
86,2,29
87,3,29
88,2,30
89,3,30
90,4,30
91,3,31
92,4,31
93,1,31
94,4,32
95,1,32
96,2,32
97,1,33
98,2,33
99,3,33
100,2,34
101,3,34
102,4,34
103,3,35
104,4,35
105,1,35
106,4,36
107,1,36
108,2,36
109,1,37
110,2,37
111,3,37
112,2,38
113,3,38
114,4,38
115,3,39
116,4,39
117,1,39
118,4,40
119,1,40
120,2,40
121,1,41
122,2,41
123,3,41
124,2,42
125,3,42
126,4,42
127,3,43
128,4,43
129,1,43
130,4,44
131,1,44
132,2,44
133,1,45
134,2,45
135,3,45
136,2,46
137,3,46
138,4,46
139,3,47
140,4,47
141,1,47
142,4,48
143,1,48
144,2,48
145,1,49
146,2,49
147,3,49
148,2,50
149,3,50
150,4,50
151,3,51
152,4,51
153,1,51
154,4,52
155,1,52
156,2,52
157,1,53
158,2,53
159,3,53
160,2,54
161,3,54
162,4,54
163,3,55
164,4,55
165,1,55
166,4,56
167,1,56
168,2,56
169,1,57
170,2,57
171,3,57
172,2,58
173,3,58
174,4,58
175,3,59
176,4,59
177,1,59
178,4,60
179,1,60
180,2,60
181,1,61
182,2,61
183,3,61
184,2,62
185,3,62
186,4,62
187,3,63
188,4,63
189,1,63
190,4,64
191,1,64
192,2,64
193,1,65
194,2,65
195,3,65
196,2,66
197,3,66
198,4,66
199,3,67
200,4,67
201,1,67
202,4,68
203,1,68
204,2,68
205,1,69
206,2,69
207,3,69
208,2,70
209,3,70
210,4,70
211,3,71
212,4,71
213,1,71
214,4,72
215,1,72
216,2,72
217,1,73
218,2,73
219,3,73
220,2,74
221,3,74
222,4,74
223,3,75
224,4,75
225,1,75
226,4,76
227,1,76
228,2,76
229,1,77
230,2,77
231,3,77
232,2,78
233,3,78
234,4,78
235,3,79
236,4,79
237,1,79
238,4,80
239,1,80
240,2,80
241,1,81
242,2,81
243,3,81
244,2,82
245,3,82
246,4,82
247,3,83
248,4,83
249,1,83
250,4,84
251,1,84
252,2,84
253,1,85
254,2,85
255,3,85
