ID,Name,type,a_t,d_t
1,0,1,0,345
2,1,2,0,375
3,2,3,0,375
4,3,4,5,380
5,4,5,5,350
6,5,6,5,380
7,6,1,10,385
8,7,2,10,385
9,8,3,10,355
10,9,4,10,385
11,10,5,15,390
12,11,6,15,390
13,12,1,15,360
14,13,2,15,390
15,14,3,20,395
16,15,4,20,395
17,16,5,20,365
18,17,6,20,395
19,18,1,25,400
20,19,2,25,400
21,20,3,25,370
22,21,4,25,400
23,22,5,30,405
24,23,6,30,405
25,24,1,30,375
26,25,2,30,405
27,26,3,35,410
28,27,4,35,410
29,28,5,35,380
30,29,6,35,410
31,30,1,40,415
32,31,2,40,415
33,32,3,40,385
34,33,4,40,415
35,34,5,45,420
36,35,6,45,420
37,36,1,45,390
38,37,2,45,420
39,38,3,50,425
40,39,4,50,425
41,40,5,50,395
42,41,6,50,425
43,42,1,55,430
44,43,2,55,430
45,44,3,55,400
46,45,4,55,430
47,46,5,60,435
48,47,6,60,435
49,48,1,60,405
50,49,2,60,435
51,50,3,65,440
52,51,4,65,440
53,52,5,65,410
54,53,6,65,440
55,54,1,70,445
56,55,2,70,445
57,56,3,70,415
58,57,4,70,445
59,58,5,75,450
60,59,6,75,450
61,60,1,75,420
62,61,2,75,450
63,62,3,80,455
64,63,4,80,455
65,64,5,80,425
66,65,6,80,455
67,66,1,85,460
68,67,2,85,460
69,68,3,85,430
70,69,4,85,460
71,70,5,90,465
72,71,6,90,465
73,72,1,90,435
74,73,2,90,465
75,74,3,95,470
76,75,4,95,470
77,76,5,95,440
78,77,6,95,470
79,78,1,100,475
80,79,2,100,475
81,80,3,100,445
82,81,4,100,475
83,82,5,105,480
84,83,6,105,480
85,84,1,105,450
