ID,Name,type,a_t,d_t
1,0,1,0,440
2,1,2,0,440
3,2,3,5,445
4,3,4,5,445
5,4,5,5,445
6,5,6,10,450
7,6,1,10,450
8,7,2,10,450
9,8,3,15,455
10,9,4,15,455
11,10,5,15,455
12,11,6,20,460
13,12,1,20,460
14,13,2,20,460
15,14,3,25,465
16,15,4,25,465
17,16,5,25,465
18,17,6,30,470
19,18,1,30,470
20,19,2,30,470
21,20,3,35,475
22,21,4,35,475
23,22,5,35,475
24,23,6,40,480
25,24,1,40,480
26,25,2,40,480
27,26,3,45,485
28,27,4,45,485
29,28,5,45,485
30,29,6,50,490
31,30,1,50,490
32,31,2,50,490
33,32,3,55,495
34,33,4,55,495
35,34,5,55,495
36,35,6,60,500
37,36,1,60,500
38,37,2,60,500
39,38,3,65,505
40,39,4,65,505
41,40,5,65,505
42,41,6,70,510
43,42,1,70,510
44,43,2,70,510
45,44,3,75,515
46,45,4,75,515
47,46,5,75,515
48,47,6,80,520
49,48,1,80,520
50,49,2,80,520
51,50,3,85,525
52,51,4,85,525
53,52,5,85,525
54,53,6,90,530
55,54,1,90,530
