ID,Name,type,a_t,d_t
1,0,1,0,465
2,1,2,0,465
3,2,3,0,465
4,3,4,5,470
5,4,5,5,470
6,5,6,5,470
7,6,1,10,475
8,7,2,10,475
9,8,3,10,475
10,9,4,10,475
11,10,5,15,480
12,11,6,15,480
13,12,1,15,480
14,13,2,15,480
15,14,3,20,485
16,15,4,20,485
17,16,5,20,485
18,17,6,20,485
19,18,1,25,490
20,19,2,25,490
21,20,3,25,490
22,21,4,25,490
23,22,5,30,495
24,23,6,30,495
25,24,1,30,495
26,25,2,30,495
27,26,3,35,500
28,27,4,35,500
29,28,5,35,500
30,29,6,35,500
31,30,1,40,505
32,31,2,40,505
33,32,3,40,505
34,33,4,40,505
35,34,5,45,510
36,35,6,45,510
37,36,1,45,510
38,37,2,45,510
39,38,3,50,515
40,39,4,50,515
41,40,5,50,515
42,41,6,50,515
43,42,1,55,520
44,43,2,55,520
45,44,3,55,520
46,45,4,55,520
47,46,5,60,525
48,47,6,60,525
49,48,1,60,525
50,49,2,60,525
51,50,3,65,530
52,51,4,65,530
53,52,5,65,530
54,53,6,65,530
55,54,1,70,535
56,55,2,70,535
57,56,3,70,535
58,57,4,70,535
59,58,5,75,540
60,59,6,75,540
61,60,1,75,540
62,61,2,75,540
63,62,3,80,545
64,63,4,80,545
65,64,5,80,545
66,65,6,80,545
67,66,1,85,550
68,67,2,85,550
69,68,3,85,550
70,69,4,85,550
71,70,5,90,555
72,71,6,90,555
73,72,1,90,555
74,73,2,90,555
75,74,3,95,560
76,75,4,95,560
77,76,5,95,560
78,77,6,95,560
79,78,1,100,565
80,79,2,100,565
81,80,3,100,565
82,81,4,100,565
83,82,5,105,570
84,83,6,105,570
85,84,1,105,570
86,85,2,105,570
87,86,3,110,575
88,87,4,110,575
89,88,5,110,575
90,89,6,110,575
91,90,1,115,580
92,91,2,115,580
93,92,3,115,580
94,93,4,115,580
95,94,5,120,585
96,95,6,120,585
97,96,1,120,585
98,97,2,120,585
99,98,3,125,590
100,99,4,125,590
101,100,5,125,590
102,101,6,125,590
103,102,1,130,595
104,103,2,130,595
105,104,3,130,595
